               xmn        radius(cm)               kmn              vbkv             alpha               nrc               rc0               rl0        fcref(GHz)             bz(G)             kmnrc             kmnrl             bjs-m              bjps                xx                yy        Hsm(xx,yy)
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   5.000000000D+00   1.000000000D+01   6.721950545D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   0.000000000D+00   1.913848941D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   1.000000000D+00   8.093333188D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   2.000000000D+00   3.182034476D-04
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   3.000000000D+00   1.065496555D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   4.000000000D+00   1.109159923D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   5.000000000D+00   9.616813838D-04
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   6.000000000D+00   2.963724933D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   7.000000000D+00   6.924267745D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   8.000000000D+00   1.550626604D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   9.000000000D+00   1.058551391D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   6.000000000D+00   1.000000000D+01   4.795462367D-03
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   0.000000000D+00   5.482208953D-06
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   1.000000000D+00   2.318330497D-06
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   2.000000000D+00   9.114918904D-08
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   3.000000000D+00   3.052108570D-06
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   4.000000000D+00   3.177182027D-06
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   5.000000000D+00   2.754730626D-07
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   6.000000000D+00   8.489572510D-07
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   7.000000000D+00   1.983452393D-06
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   8.000000000D+00   4.441760722D-07
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   7.000000000D+00   9.000000000D+00   3.032214187D-07
